_id,id,group_name
6750611e7c71e7d63fc5a065,1,Вакцины
6750611e7c71e7d63fc5a066,2,Иммуноглобулины
6750611e7c71e7d63fc5a067,3,Регидранты
6750611e7c71e7d63fc5a068,4,Анальгетики
6750611e7c71e7d63fc5a069,5,Антигистоминные
6750611e7c71e7d63fc5a06a,6,Анаболитики
6750611e7c71e7d63fc5a06b,7,Гомеопатические
6750611e7c71e7d63fc5a06c,8,Антидепрессанты
6750611e7c71e7d63fc5a06d,9,Антиоксиданты
6750611e7c71e7d63fc5a06e,10,Респираторные
6750611e7c71e7d63fc5a06f,11,Антибиотики
6750611e7c71e7d63fc5a070,12,Иммуномодуляторы
